title,timestamp,date,time,url,description
Chicago Bulls vs. Utah Jazz,2019-03-23 19:00:00 UTC,2019-03-23,07:00 PM,/events/2019/03/23/chicago-bulls-vs-utah-jazz/,Chicago Bulls vs. Utah Jazz
Chicago Blackhawks vs. Colorado Avalanche,2019-03-24 19:00:00 UTC,2019-03-24,07:00 PM,/events/2019/03/24/chicago-blackhawks-vs-colorado-avalanche/,Chicago Blackhawks vs. Colorado Avalanche
2Cellos,2019-03-26 19:30:00 UTC,2019-03-26,07:30 PM,/events/2019/03/26/2-cellos-let-there-be-cellos/,"Gearing up for the October 19 release of new album Let There Be Cello, 2CELLOS announce a Chicago concert appearance on March 26 at the United Center!"
Chicago Bulls vs. Portland Trail Blazers,2019-03-27 19:00:00 UTC,2019-03-27,07:00 PM,/events/2019/03/27/chicago-bulls-vs-portland-trail-blazers/,Chicago Bulls vs. Portland Trail Blazers
Mumford & Sons,2019-03-29 19:30:00 UTC,2019-03-29,07:30 PM,/events/2019/03/29/mumford-and-sons/,"Mumford & Sons will embark on an extensive 60-date worldwide arena tour this fall, including a stop in Chicago on March 29, featuring a groundbreaking new in-the-round stage design."
Chicago Bulls vs. Toronto Raptors,2019-03-30 19:00:00 UTC,2019-03-30,07:00 PM,/events/2019/03/30/chicago-bulls-vs-toronto-raptors/,Chicago Bulls vs. Toronto Raptors
Chicago Blackhawks vs. Winnipeg Jets,2019-04-01 19:30:00 UTC,2019-04-01,07:30 PM,/events/2019/04/01/chicago-blackhawks-vs-winnipeg-jets/,Chicago Blackhawks vs. Winnipeg Jets
Chicago Blackhawks vs. St. Louis Blues,2019-04-03 19:00:00 UTC,2019-04-03,07:00 PM,/events/2019/04/03/chicago-blackhawks-vs-st-louis-blues/,Chicago Blackhawks vs. St. Louis Blues
Chicago Blackhawks vs. Dallas Stars,2019-04-05 19:30:00 UTC,2019-04-05,07:30 PM,/events/2019/04/05/chicago-blackhawks-vs-dallas-stars/,Chicago Blackhawks vs. Dallas Stars
Chicago Bulls vs. Philadelphia 76ers,2019-04-06 19:00:00 UTC,2019-04-06,07:00 PM,/events/2019/04/06/chicago-bulls-vs-philadelphia-76ers/,Chicago Bulls vs. Philadelphia 76ers
Chicago Bulls vs. New York Knicks,2019-04-09 19:00:00 UTC,2019-04-09,07:00 PM,/events/2019/04/09/chicago-bulls-vs-new-york-knicks/,Chicago Bulls vs. New York Knicks
Muse,2019-04-12 20:00:00 UTC,2019-04-12,08:00 PM,/events/2019/04/12/muse-simulation-theory/,"MUSE have announced their Simulation Theory World Tour. The multi-platinum, Grammy Award-winning rock icons will perform at the United Center on Friday, April 12, 2019. "
National Achievers Congress,2019-04-26 00:00:00 UTC,2019-04-26,12:00 AM,/events/2019/04/26/national-achievers-congress/,"Success Resources America is proud to announce the one-day mega-event National Achievers Congress is coming to Chicago, Illinois, Friday, April 26, 2019 at the United Center. See Tony Robbins, Kevin O’Leary, Gary Vaynerchuk, Dean Graziosi, Loren Lahav and many more. "
Trevor Noah,2019-04-27 20:00:00 UTC,2019-04-27,08:00 PM,/events/2019/04/27/trevor-noah/,"Trevor Noah is crossing North America on his first ever arena outing with the Loud & Clear Tour 2019, including a stop in Chicago on April 27!.  The Daily Show  host and celebrated comedian is known around the world for his insightful and authentic take on politics and current events. Kicking off January 18 in Norfolk, Virginia, the 23-city tour will visit cities including Chicago, Tampa, Cincinnati and more."
The 1975,2019-05-08 19:00:00 UTC,2019-05-08,07:00 PM,/events/2019/05/08/the-1975/,The 1975 announced their 2019 tour will make a stop in Chicago on May 8 with special guest No Rome!
Ariana Grande,2019-06-04 20:00:00 UTC,2019-06-04,08:00 PM,/events/2019/04/07/ariana-grande/,"Multiplatinum singer-songwriter Ariana Grande reveals the first set of dates for The Sweetener World Tour, in support of her most recent album, Sweetener. The first leg of the tour kicks off in North America in the spring and includes a stop in Chicago on June 4 and 5!"
UFC 238,2019-06-08 00:00:00 UTC,2019-06-08,12:00 AM,/events/2019/06/08/ufc-238/,"A UFC championship doubleheader will headline the Octagon's return to the Windy City. In the main event, flyweight champion Henry Cejudo will attempt to follow up a stunning first-round knockout victory in his last performance when he battles Brazilian finisher Marlon Moraes for the vacant UFC bantamweight crown. Plus, striking specialist Valentina Shevchenko defends her flyweight title for the first time against Ohio's Jessica ""Evil"" Eye, who is undefeated since returning to 125 pounds."
Billie Eilish,2019-06-09 19:30:00 UTC,2019-06-09,07:30 PM,/events/2019/06/09/billie-eilish-when-we-all-fall-asleep-tour/,"Billie Eilish, California's sensational indie electronic artist is bringing her signature sounds to the United Center on June 9!"
Hugh Jackman,2019-06-21 19:00:00 UTC,2019-06-21,07:00 PM,/events/2019/06/21/hugh-jackman-world-tour/,"Today, Academy Award®-nominated, Golden Globe- and Tony Award-winning performer, Hugh Jackman, announced his first world tour.  The Man. The Music. The Show. will see Jackman performing hit songs from The Greatest Showman, Les Miserable and more from Broadway and film, accompanied by a live orchestra.  The Man. The Music. The Show. will visit Chicago on Friday, June 21 at United Center. "
HockeyFest – Game On!,2019-06-22 00:00:00 UTC,2019-06-22,12:00 AM,/events/2019/06/22/HockeyFest/,"The Chicago Blackhawks today announced the team will host HockeyFest – Game On!, the world’s largest street hockey tournament, on United Center campus parking lots from June 22-23, 2019. This marks the first time ever that this traveling event will be held in the United States."
The 3Kingz Tour - CANCELLED,2019-06-22 19:30:00 UTC,2019-06-22,07:30 PM,/events/2019/06/22/the-3Kingz-tour/,"Chrome Entertainment Group has announced that their 3Kingz Tour featuring Kevin Gates, NBA YoungBoy, Gunna, Young Dolph, DaBaby and Quando Rondo returns to Chicago on Saturday, June 22 at the United Center. Doors open at 6:00 PM CST and the show begins at 7:30 PM CST at 1901 West Madison Street, Chicago IL 60612."
Jennifer Lopez,2019-06-29 20:00:00 UTC,2019-06-29,08:00 PM,/events/2019/06/29/jennifer-lopez/,"Music and entertainment powerhouse Jennifer Lopez revealed details of her highly anticipated It’s My Party Tour, her first ever US headlining tour. To celebrate her birthday, the multi-hyphenate entertainer will bring an all new show to fans in 25 cities across North America this summer, including a stop in Chicago on June 29 & 30!"
Windy City Smokeout,2019-07-12 00:00:00 UTC,2019-07-12,12:00 AM,/events/2019/07/12/windy-city-smokeout/,"Windy City Smokeout, the nation’s premier outdoor BBQ and countrymusic festival, will be held the weekend of July 12-14, 2019 at a new location right outside of Chicago’shistoric United Center."
Intel Extreme Masters,2019-07-20 00:00:00 UTC,2019-07-20,12:00 AM,/events/2019/07/20/intel-extreme-masters/,"ESL, the world’s largest esports company, and Intel, the technology leader in esports, announced that Intel® Extreme Masters (IEM) will be returning to Chicago on July 20-21, 2019, for the 76th global IEM tournament. Tickets on sale May 3 at 12 PM"
Khalid,2019-07-25 19:30:00 UTC,2019-07-25,07:30 PM,/events/2019/07/25/khalid-free-spirit/,"Multi-platinum global superstar Khalid has announced his North American headline dates for “Khalid Free Spirit World Tour” in support of his upcoming sophomore album “Free Spirit”, including a stop in Chicago on July 25."
Jeff Lynne's ELO,2019-07-27 20:00:00 UTC,2019-07-27,08:00 PM,/events/2019/07/27/jeff-lynne-elo-live-2019/,"After returning this summer with their first extensive North American tour since 1981, Jeff Lynne’s ELO is set to bring their outstanding live show to even more audiences with a 20-date summer 2019 tour, including a stop in Chicago at the United Center on July 27!"
Barbra Streisand,2019-08-06 00:00:00 UTC,2019-08-06,12:00 AM,/events/2019/08/06/barbra-streisand/,Barbra Streisand will bring her legendary live performance back to Chicago’s United Center for one night only on August 6th!
Queen,2019-08-09 20:00:00 UTC,2019-08-09,08:00 PM,/events/2019/08/09/queen-the-rhapsody-tour/,The soaring success of Bohemian Rhapsody – the Freddie Mercury/Queen movie that is set to become the biggest grossing music biopic of all time – has proven that the public’s love for Queen remains as strong as ever. 
Backstreet Boys,2019-08-10 20:00:00 UTC,2019-08-10,08:00 PM,/events/2019/08/10/backstreet-boys-DNA/,"The Backstreet Boys are thrilled to announce their biggest arena tour in 18 years along with the release of their new album DNA, coming out January 25th on RCA Records.Beginning on May 11th, the group will set off on the DNA World Tour - their biggest arena tour in 18 years. Produced by Live Nation, the guys will perform all over Europe and North America over the course of three months, headlining venues including the United Center in Chicago on Aug. 10, 2019!"
John Mayer,2019-08-14 19:30:00 UTC,2019-08-14,07:30 PM,/events/2019/08/14/john-mayer-2019/,"GRAMMY Award®-winning artist JOHN MAYER has added North American concerts to his 2019 World Tour, including stops in Chicago on Aug. 14 and Aug. 15!"
Thomas Rhett,2019-09-14 19:00:00 UTC,2019-09-14,07:00 PM,/events/2019/10/29/thomas-rhett-2019/,"Thomas Rhett has announced an extensive series of dates for his 2019 Very Hot Summer Tour, set to begin in May 2019, which includes a stop in Chicago on on Sept. 14, 2019!"
