pickup_census_tract,community_area_name,sep_nov_2015,sep_nov_2016,growth
17031031300,3,859.0,264.0,-0.6926658905704307
17031062500,6,772.0,156.0,-0.7979274611398963
17031031000,3,762.0,154.0,-0.7979002624671916
17031240500,24,741.0,147.0,-0.8016194331983806
17031031700,3,686.0,127.0,-0.814868804664723
17031841100,34,676.0,155.0,-0.7707100591715976
17031390700,39,665.0,146.0,-0.7804511278195488
17031030706,77,647.0,185.0,-0.714064914992272
17031220500,22,647.0,124.0,-0.8083462132921175
17031062300,6,632.0,268.0,-0.5759493670886076
17031243300,24,625.0,126.0,-0.7984
17031050600,5,619.0,218.0,-0.6478190630048466
17031243100,24,593.0,130.0,-0.7807757166947723
17031060500,6,591.0,447.0,-0.24365482233502533
17031830600,1,588.0,221.0,-0.6241496598639455
17031243400,24,583.0,115.0,-0.8027444253859348
17031030200,77,530.0,69.0,-0.869811320754717
17031040600,4,502.0,109.0,-0.7828685258964143
17031060100,6,485.0,310.0,-0.3608247422680413
17031221400,22,424.0,128.0,-0.6981132075471699
17031839200,35,406.0,15.0,-0.9630541871921182
17031071600,7,362.0,104.0,-0.7127071823204421
17031330200,33,335.0,70.0,-0.791044776119403
17031340600,34,334.0,342.0,0.0239520958083832
17031062600,6,333.0,118.0,-0.6456456456456456
17031220602,22,331.0,22.0,-0.9335347432024169
17031070500,7,322.0,87.0,-0.7298136645962733
17031020602,2,307.0,250.0,-0.18566775244299671
17031242400,24,303.0,49.0,-0.8382838283828383
17031060300,6,294.0,215.0,-0.26870748299319724
17031030500,77,289.0,53.0,-0.8166089965397924
17031050500,5,277.0,76.0,-0.7256317689530686
17031830900,22,267.0,17.0,-0.9363295880149812
17031040900,4,267.0,75.0,-0.7191011235955056
17031070700,7,255.0,68.0,-0.7333333333333334
17031280400,28,252.0,174.0,-0.30952380952380953
17031843100,29,249.0,139.0,-0.4417670682730924
17031140301,14,224.0,83.0,-0.6294642857142857
17031031800,3,223.0,61.0,-0.726457399103139
17031221500,22,219.0,47.0,-0.7853881278538812
17031110502,11,213.0,70.0,-0.6713615023474178
17031222200,22,207.0,51.0,-0.7536231884057971
17031030604,77,206.0,59.0,-0.7135922330097088
17031160200,16,206.0,108.0,-0.47572815533980584
17031030703,77,197.0,85.0,-0.5685279187817258
17031161000,16,196.0,52.0,-0.7346938775510203
17031243200,24,193.0,26.0,-0.8652849740932642
17031030102,77,176.0,68.0,-0.6136363636363636
17031220400,22,173.0,25.0,-0.8554913294797688
17031240200,24,168.0,26.0,-0.8452380952380952
17031843700,5,168.0,58.0,-0.6547619047619048
17031837800,28,167.0,62.0,-0.6287425149700598
17031243000,24,162.0,29.0,-0.8209876543209876
17031031900,3,151.0,53.0,-0.6490066225165563
17031210601,21,143.0,22.0,-0.8461538461538461
17031030101,77,143.0,18.0,-0.8741258741258742
17031151002,15,130.0,190.0,0.46153846153846145
17031350100,35,127.0,39.0,-0.6929133858267716
17031050100,5,121.0,37.0,-0.6942148760330579
17031071700,7,121.0,27.0,-0.7768595041322314
17031040402,4,120.0,23.0,-0.8083333333333333
17031030400,77,120.0,27.0,-0.775
17031410800,41,119.0,23.0,-0.8067226890756303
17031340500,34,108.0,131.0,0.21296296296296302
17031221600,22,108.0,9.0,-0.9166666666666666
17031040201,4,105.0,25.0,-0.7619047619047619
17031843300,29,102.0,97.0,-0.0490196078431373
17031833300,28,101.0,22.0,-0.7821782178217822
17031030300,77,99.0,72.0,-0.2727272727272727
17031130200,13,98.0,43.0,-0.5612244897959184
17031832400,22,97.0,9.0,-0.9072164948453608
17031031501,3,96.0,15.0,-0.84375
17031310600,31,94.0,16.0,-0.8297872340425532
17031832900,28,93.0,21.0,-0.7741935483870968
17031020802,2,91.0,34.0,-0.6263736263736264
17031040700,4,91.0,12.0,-0.8681318681318682
17031020902,2,91.0,29.0,-0.6813186813186813
17031051100,5,88.0,24.0,-0.7272727272727273
17031040100,4,84.0,26.0,-0.6904761904761905
17031010503,1,82.0,10.0,-0.8780487804878049
17031060200,6,80.0,25.0,-0.6875
17031031502,3,79.0,57.0,-0.2784810126582279
17031040202,4,78.0,43.0,-0.4487179487179487
17031830800,4,78.0,21.0,-0.7307692307692308
17031760801,76,76.0,41.0,-0.4605263157894737
17031030601,77,75.0,15.0,-0.8
17031051300,5,75.0,22.0,-0.7066666666666667
17031283100,28,74.0,15.0,-0.7972972972972973
17031020901,2,70.0,17.0,-0.7571428571428571
17031410900,41,66.0,7.0,-0.8939393939393939
17031241300,24,65.0,9.0,-0.8615384615384616
17031020500,2,63.0,33.0,-0.47619047619047616
17031838000,28,62.0,37.0,-0.4032258064516129
17031160400,16,61.0,64.0,0.049180327868852514
17031842900,28,56.0,29.0,-0.4821428571428571
17031051200,5,54.0,14.0,-0.7407407407407407
17031160700,16,54.0,31.0,-0.42592592592592593
17031490800,49,49.0,34.0,-0.30612244897959184
17031030701,77,48.0,3.0,-0.9375
17031050700,5,48.0,16.0,-0.6666666666666667
17031030603,77,47.0,19.0,-0.5957446808510638
17031050300,5,47.0,41.0,-0.12765957446808507
17031030103,77,46.0,8.0,-0.8260869565217391
17031010702,1,45.0,9.0,-0.8
17031020801,2,44.0,53.0,0.20454545454545459
17031010502,1,42.0,9.0,-0.7857142857142857
17031051400,5,42.0,3.0,-0.9285714285714286
17031160300,16,37.0,19.0,-0.4864864864864865
17031160900,16,37.0,4.0,-0.8918918918918919
17031020702,2,37.0,24.0,-0.3513513513513513
17031440102,44,37.0,1.0,-0.972972972972973
17031210700,21,33.0,7.0,-0.7878787878787878
17031242500,24,32.0,6.0,-0.8125
17031411200,41,32.0,1.0,-0.96875
17031242900,24,31.0,3.0,-0.9032258064516129
17031063303,6,29.0,13.0,-0.5517241379310345
